started,ended,duration,load
2024-02-02T10:47:00Z,2024-02-02T19:47:00Z,9.0000,23.1452
2024-01-14T15:35:00Z,2024-01-14T16:50:00Z,1.2500,11.9478
2024-02-26T08:54:00Z,2024-02-26T09:24:00Z,0.5000,27.2619
2024-01-13T09:49:00Z,2024-01-13T14:19:00Z,4.5000,25.4207
2024-02-17T19:28:00Z,2024-02-17T21:43:00Z,2.2500,10.7185
2024-01-12T22:07:00Z,2024-01-13T08:07:00Z,10.0000,15.2410
2024-02-09T22:47:00Z,2024-02-10T07:17:00Z,8.5000,16.8397
2024-02-11T12:57:00Z,2024-02-11T22:42:00Z,9.7500,17.5551
2024-01-08T13:41:00Z,2024-01-08T16:11:00Z,2.5000,15.7507
2024-01-14T04:22:00Z,2024-01-14T07:07:00Z,2.7500,29.0972
2024-03-19T06:10:00Z,2024-03-19T11:55:00Z,5.7500,
2024-03-07T14:34:00Z,2024-03-07T17:49:00Z,3.2500,13.7900
2024-02-24T05:01:00Z,2024-02-24T08:16:00Z,3.2500,29.6688
2024-03-06T23:36:00Z,2024-03-07T04:06:00Z,4.5000,18.9236
2024-02-10T11:56:00Z,2024-02-10T17:56:00Z,6.0000,20.1904
2024-03-11T11:17:00Z,2024-03-11T18:02:00Z,6.7500,21.8800
2024-02-20T07:46:00Z,2024-02-20T12:01:00Z,4.2500,28.9539
2024-02-17T14:55:00Z,2024-02-17T19:40:00Z,4.7500,13.0992
2024-03-02T16:01:00Z,2024-03-03T00:31:00Z,8.5000,11.3286
2024-03-08T04:46:00Z,2024-03-08T07:16:00Z,2.5000,29.4812
2024-03-09T08:01:00Z,2024-03-09T13:46:00Z,5.7500,28.6437
2024-03-23T00:28:00Z,2024-03-23T08:43:00Z,8.2500,21.2181
2024-02-11T15:40:00Z,2024-02-11T23:55:00Z,8.2500,11.8204
2024-02-07T03:10:00Z,2024-02-07T08:25:00Z,5.2500,27.3699
2024-03-05T20:36:00Z,2024-03-05T22:51:00Z,2.2500,12.2114
2024-03-14T13:35:00Z,2024-03-14T16:50:00Z,3.2500,15.9890
2024-01-03T10:21:00Z,2024-01-03T10:51:00Z,0.5000,24.1991
2024-01-26T01:11:00Z,2024-01-26T09:56:00Z,8.7500,23.0471
2024-01-26T01:03:00Z,2024-01-26T09:03:00Z,8.0000,22.7131
2024-01-23T17:40:00Z,2024-01-23T20:10:00Z,2.5000,10.0401
2024-02-01T07:33:00Z,2024-02-01T13:18:00Z,5.7500,
2024-03-23T21:40:00Z,2024-03-24T00:55:00Z,3.2500,14.2407
2024-01-09T11:11:00Z,2024-01-09T16:41:00Z,5.5000,22.1363
2024-02-21T03:30:00Z,2024-02-21T11:30:00Z,8.0000,27.9307
2024-01-14T05:11:00Z,2024-01-14T07:56:00Z,2.7500,29.7708
2024-01-14T07:30:00Z,2024-01-14T12:30:00Z,5.0000,29.2426
2024-02-15T04:20:00Z,2024-02-15T09:50:00Z,5.5000,29.0606
2024-03-14T20:08:00Z,2024-03-15T01:38:00Z,5.5000,11.5054
2024-01-12T15:28:00Z,2024-01-12T19:13:00Z,3.7500,12.1325
2024-03-12T23:12:00Z,2024-03-13T08:12:00Z,9.0000,17.8908
2024-02-22T12:27:00Z,2024-02-22T14:42:00Z,2.2500,18.8410
2024-01-08T17:00:00Z,2024-01-08T19:45:00Z,2.7500,10.3466
2024-03-04T17:17:00Z,2024-03-05T01:32:00Z,8.2500,10.1798
2024-03-12T14:39:00Z,2024-03-12T18:39:00Z,4.0000,13.6206
2024-01-22T12:33:00Z,2024-01-22T13:18:00Z,0.7500,18.5816
2024-01-07T04:31:00Z,2024-01-07T08:01:00Z,3.5000,29.2531
2024-01-06T13:48:00Z,2024-01-06T23:18:00Z,9.5000,15.4764
2024-01-20T20:12:00Z,2024-01-21T01:27:00Z,5.2500,11.5987
2024-01-04T22:20:00Z,2024-01-05T08:20:00Z,10.0000,15.7470
2024-02-16T08:35:00Z,2024-02-16T12:35:00Z,4.0000,27.8060
2024-03-28T20:07:00Z,2024-04-01T03:37:00Z,7.5000,
2024-01-17T09:17:00Z,2024-01-17T17:32:00Z,8.2500,26.5369
2024-03-05T03:25:00Z,2024-03-05T13:10:00Z,9.7500,27.7960
2024-03-03T23:46:00Z,2024-03-04T07:01:00Z,7.2500,19.3580
2024-03-07T08:34:00Z,2024-03-07T16:19:00Z,7.7500,27.8332
2024-01-28T22:40:00Z,2024-01-28T23:55:00Z,1.2500,16.5515
2024-01-04T06:28:00Z,2024-01-04T16:13:00Z,9.7500,29.9265
2024-03-01T01:57:00Z,2024-03-01T02:57:00Z,1.0000,24.8840
2024-01-14T02:55:00Z,2024-01-14T10:40:00Z,7.7500,26.9123
2024-02-15T23:55:00Z,2024-02-16T04:25:00Z,4.5000,19.7501
2024-02-19T08:30:00Z,2024-02-19T15:45:00Z,7.2500,27.9404
2024-01-10T18:06:00Z,2024-01-10T20:21:00Z,2.2500,10.0028
2024-02-24T11:18:00Z,2024-02-24T21:03:00Z,9.7500,21.8371
2024-02-01T15:14:00Z,2024-02-01T23:44:00Z,8.5000,12.5239
2024-02-17T22:32:00Z,2024-02-18T07:02:00Z,8.5000,16.2262
2024-02-13T17:55:00Z,2024-02-13T19:10:00Z,1.2500,10.0029
2024-01-13T21:49:00Z,2024-01-14T04:19:00Z,6.5000,14.5659
2024-03-26T19:51:00Z,2024-03-26T23:36:00Z,3.7500,11.1379
2024-01-23T01:29:00Z,2024-01-23T06:44:00Z,5.2500,23.7847
2024-01-05T15:35:00Z,2024-01-06T01:05:00Z,9.5000,11.9478
2024-01-02T06:22:00Z,2024-01-02T12:22:00Z,6.0000,
2024-01-21T19:49:00Z,2024-01-22T02:04:00Z,6.2500,11.0978
2024-03-17T07:31:00Z,2024-03-17T10:46:00Z,3.2500,29.2259
2024-03-24T19:12:00Z,2024-03-24T21:27:00Z,2.2500,10.4816
2024-01-06T03:23:00Z,2024-01-06T11:23:00Z,8.0000,27.7411
2024-01-03T21:16:00Z,2024-01-04T01:01:00Z,3.7500,13.4181
2024-03-01T00:59:00Z,2024-03-01T05:59:00Z,5.0000,22.5448
2024-02-23T00:40:00Z,2024-02-23T08:10:00Z,7.5000,21.7356
2024-01-23T18:25:00Z,2024-01-24T03:10:00Z,8.7500,10.0568
2024-03-23T15:18:00Z,2024-03-23T20:03:00Z,4.7500,12.4091
2024-01-18T18:00:00Z,2024-01-18T22:15:00Z,4.2500,10.0000
2024-03-19T13:38:00Z,2024-03-19T18:08:00Z,4.5000,15.8695
2024-03-08T06:54:00Z,2024-03-08T14:09:00Z,7.2500,29.7258
2024-02-02T12:08:00Z,2024-02-02T16:53:00Z,4.7500,19.6671
2024-03-26T20:14:00Z,2024-03-27T03:59:00Z,7.7500,11.6464
2024-02-25T18:56:00Z,2024-02-26T03:26:00Z,8.5000,10.2910
2024-02-08T19:59:00Z,2024-02-08T20:59:00Z,1.0000,11.3049
2024-02-14T19:57:00Z,2024-02-15T00:12:00Z,4.2500,11.2621
2024-02-25T17:38:00Z,2024-02-25T18:08:00Z,0.5000,10.0483
2024-01-07T21:10:00Z,2024-01-08T04:10:00Z,7.0000,13.2234
2024-01-12T18:50:00Z,2024-01-12T21:50:00Z,3.0000,
2024-03-24T07:22:00Z,2024-03-24T16:22:00Z,9.0000,29.3701
2024-03-24T10:58:00Z,2024-03-24T16:58:00Z,6.0000,22.6864
2024-01-17T20:41:00Z,2024-01-17T20:56:00Z,0.2500,12.3500
2024-03-17T05:43:00Z,2024-03-17T11:58:00Z,6.2500,29.9719
2024-02-07T15:27:00Z,2024-02-08T00:57:00Z,9.5000,12.1595
2024-03-14T21:22:00Z,2024-03-15T00:22:00Z,3.0000,13.6174
2024-01-08T23:40:00Z,2024-01-09T09:40:00Z,10.0000,19.0972
2024-01-26T22:22:00Z,2024-01-27T07:07:00Z,8.7500,15.8261
2024-01-18T12:14:00Z,2024-01-18T21:44:00Z,9.5000,19.4057
2024-01-02T03:22:00Z,2024-01-02T08:22:00Z,5.0000,27.7134
2024-02-27T13:46:00Z,2024-02-27T20:16:00Z,6.5000,15.5544
2024-01-27T23:08:00Z,2024-01-28T00:23:00Z,1.2500,17.7206
2024-01-21T19:52:00Z,2024-01-22T00:07:00Z,4.2500,11.1582
2024-03-07T07:15:00Z,2024-03-07T15:15:00Z,8.0000,29.4724
2024-02-15T04:58:00Z,2024-02-15T09:13:00Z,4.2500,29.6345
2024-03-24T18:02:00Z,2024-03-25T02:32:00Z,8.5000,10.0002
2024-02-12T10:52:00Z,2024-02-12T13:22:00Z,2.5000,22.9375
2024-03-27T07:52:00Z,2024-03-27T09:07:00Z,1.2500,28.8344
2024-02-24T15:27:00Z,2024-02-24T19:42:00Z,4.2500,12.1595
2024-02-18T07:05:00Z,2024-02-18T08:20:00Z,1.2500,
2024-02-22T09:53:00Z,2024-02-22T18:08:00Z,8.2500,25.2733
2024-01-19T00:50:00Z,2024-01-19T02:20:00Z,1.5000,22.1633
2024-02-19T21:42:00Z,2024-02-19T21:57:00Z,0.2500,14.3122
2024-01-27T07:24:00Z,2024-01-27T11:24:00Z,4.0000,29.3393
2024-03-04T23:39:00Z,2024-03-05T02:39:00Z,3.0000,19.0537
2024-01-17T06:15:00Z,2024-01-17T11:45:00Z,5.5000,29.9791
2024-01-22T11:45:00Z,2024-01-22T15:45:00Z,4.0000,20.6696
2024-01-19T06:41:00Z,2024-01-19T09:41:00Z,3.0000,29.8420
2024-02-25T01:07:00Z,2024-02-25T06:52:00Z,5.7500,22.8805
2024-02-28T03:48:00Z,2024-02-28T04:33:00Z,0.7500,28.3840
2024-01-18T11:10:00Z,2024-01-18T17:25:00Z,6.2500,22.1789
2024-01-24T02:39:00Z,2024-01-24T06:24:00Z,3.7500,26.3917
2024-03-14T06:29:00Z,2024-03-14T07:44:00Z,1.2500,29.9211
2024-03-14T10:23:00Z,2024-03-14T10:38:00Z,0.2500,24.1197
2024-02-21T02:53:00Z,2024-02-21T06:38:00Z,3.7500,26.8490
2024-03-12T06:29:00Z,2024-03-12T14:29:00Z,8.0000,29.9211
2024-02-23T01:52:00Z,2024-02-23T08:07:00Z,6.2500,24.6925
2024-01-04T14:50:00Z,2024-01-04T16:05:00Z,1.2500,13.2586
2024-03-17T04:10:00Z,2024-03-17T10:55:00Z,6.7500,28.8676
2024-03-11T17:41:00Z,2024-03-11T22:11:00Z,4.5000,
2024-01-11T22:02:00Z,2024-01-12T02:32:00Z,4.5000,15.0503
2024-01-07T20:15:00Z,2024-01-08T00:00:00Z,3.7500,11.6704
2024-02-01T08:54:00Z,2024-02-01T15:54:00Z,7.0000,27.2619
2024-01-15T20:38:00Z,2024-01-16T04:38:00Z,8.0000,12.2664
2024-02-18T11:24:00Z,2024-02-18T19:54:00Z,8.5000,21.5793
2024-02-12T03:08:00Z,2024-02-12T08:23:00Z,5.2500,27.3107
2024-01-14T06:45:00Z,2024-01-14T15:15:00Z,8.5000,29.8096
2024-02-01T02:09:00Z,2024-02-01T05:39:00Z,3.5000,25.3337
2024-01-23T08:43:00Z,2024-01-23T09:58:00Z,1.2500,27.5832
2024-02-17T20:49:00Z,2024-02-17T21:04:00Z,0.2500,12.5793
2024-01-26T18:13:00Z,2024-01-27T03:13:00Z,9.0000,10.0147
2024-01-27T13:49:00Z,2024-01-27T17:49:00Z,4.0000,15.4376
2024-02-08T20:49:00Z,2024-02-08T23:49:00Z,3.0000,12.5793
2024-02-08T14:20:00Z,2024-02-08T17:50:00Z,3.5000,14.2798
2024-01-05T23:37:00Z,2024-01-06T06:37:00Z,7.0000,18.9669
2024-01-04T12:26:00Z,2024-01-04T21:41:00Z,9.2500,18.8844
2024-01-06T13:36:00Z,2024-01-06T15:36:00Z,2.0000,15.9491
2024-01-06T18:10:00Z,2024-01-06T18:55:00Z,0.7500,10.0085
2024-03-14T20:32:00Z,2024-03-14T23:17:00Z,2.7500,12.1031
2024-02-22T17:09:00Z,2024-02-23T01:39:00Z,8.5000,
2024-01-28T10:48:00Z,2024-01-28T15:33:00Z,4.7500,23.1038
2024-01-05T06:21:00Z,2024-01-05T13:51:00Z,7.5000,29.9588
2024-03-09T08:02:00Z,2024-03-09T15:17:00Z,7.2500,28.6217
2024-03-14T04:24:00Z,2024-03-14T09:54:00Z,5.5000,29.1331
2024-01-28T12:37:00Z,2024-01-28T12:52:00Z,0.2500,18.4091
2024-02-14T04:16:00Z,2024-02-14T08:01:00Z,3.7500,28.9855
2024-01-10T09:43:00Z,2024-01-10T19:43:00Z,10.0000,25.6387
2024-02-21T06:53:00Z,2024-02-21T09:23:00Z,2.5000,29.7359
2024-03-14T16:17:00Z,2024-03-14T20:47:00Z,4.5000,11.0024
2024-01-22T10:37:00Z,2024-01-22T20:22:00Z,9.7500,23.5561
2024-01-18T12:10:00Z,2024-01-18T12:55:00Z,0.7500,19.5799
2024-01-27T15:02:00Z,2024-01-27T20:17:00Z,5.2500,12.8815
2024-02-17T03:25:00Z,2024-02-17T08:25:00Z,5.0000,27.7960
2024-03-16T21:37:00Z,2024-03-17T06:22:00Z,8.7500,14.1342
2024-02-05T00:46:00Z,2024-02-05T02:46:00Z,2.0000,21.9927
2024-02-21T20:52:00Z,2024-02-22T05:37:00Z,8.7500,12.6676
2024-03-23T13:20:00Z,2024-03-23T20:35:00Z,7.2500,16.5964
2024-01-15T18:18:00Z,2024-01-15T22:03:00Z,3.7500,10.0290
2024-01-02T23:16:00Z,2024-01-03T01:46:00Z,2.5000,18.0616
2024-03-15T04:58:00Z,2024-03-15T08:43:00Z,3.7500,
2024-03-08T09:23:00Z,2024-03-08T12:53:00Z,3.5000,26.3367
2024-03-17T10:10:00Z,2024-03-17T13:55:00Z,3.7500,24.6295
2024-01-02T02:34:00Z,2024-01-02T05:19:00Z,2.7500,26.2225
2024-02-17T15:53:00Z,2024-02-17T22:38:00Z,6.7500,11.5076
