started	ended	target
2024-01-05T21:00:00Z	2024-01-05T21:45:00Z	30.500000
2024-01-05T22:00:00Z	2024-01-05T22:45:00Z	31.000000
2024-01-05T23:00:00Z	2024-01-05T23:45:00Z	31.500000
2024-01-06T00:00:00Z	2024-01-06T00:45:00Z	20.000000
2024-01-06T01:00:00Z	2024-01-06T01:45:00Z	20.500000
2024-01-06T02:00:00Z	2024-01-06T02:45:00Z	21.000000
2024-01-06T03:00:00Z	2024-01-06T03:45:00Z	21.500000
2024-01-06T04:00:00Z	2024-01-06T04:45:00Z	22.000000
2024-01-06T05:00:00Z	2024-01-06T05:45:00Z	22.500000
2024-01-06T06:00:00Z	2024-01-06T06:45:00Z	23.000000
2024-01-06T07:00:00Z	2024-01-06T07:45:00Z	23.500000
2024-01-06T08:00:00Z	2024-01-06T08:45:00Z	24.000000
2024-01-06T09:00:00Z	2024-01-06T09:45:00Z	24.500000
2024-01-06T10:00:00Z	2024-01-06T10:45:00Z	25.000000
2024-01-06T11:00:00Z	2024-01-06T11:45:00Z	25.500000
2024-01-06T12:00:00Z	2024-01-06T12:45:00Z	26.000000
2024-01-06T13:00:00Z	2024-01-06T13:45:00Z	26.500000
2024-01-06T14:00:00Z	2024-01-06T14:45:00Z	27.000000
2024-01-06T15:00:00Z	2024-01-06T15:45:00Z	27.500000
2024-01-06T16:00:00Z	2024-01-06T16:45:00Z	28.000000
2024-01-06T17:00:00Z	2024-01-06T17:45:00Z	28.500000
2024-01-06T18:00:00Z	2024-01-06T18:45:00Z	29.000000
2024-01-06T19:00:00Z	2024-01-06T19:45:00Z	29.500000
