input,load,cost
2024-01-13T09:49:00Z,25.4207,38.6669
2024-02-17T19:28:00Z,10.7185,16.3086
2024-01-12T22:07:00Z,15.2410,22.9957
2024-02-09T22:47:00Z,16.8397,25.7218
2024-02-11T12:57:00Z,17.5551,26.5427
2024-01-08T13:41:00Z,15.7507,23.7301
2024-01-14T04:22:00Z,29.0972,43.9745
2024-03-19T06:10:00Z,29.9908,45.5068
2024-03-07T14:34:00Z,13.7900,20.9669
2024-02-24T05:01:00Z,29.6688,45.1705
2024-03-06T23:36:00Z,18.9236,28.7155
2024-02-10T11:56:00Z,20.1904,30.5683
2024-03-11T11:17:00Z,21.8800,33.8127
2024-02-20T07:46:00Z,28.9539,
2024-02-17T14:55:00Z,13.0992,20.0109
2024-03-02T16:01:00Z,11.3286,17.4390
2024-03-08T04:46:00Z,29.4812,45.2128
2024-03-09T08:01:00Z,28.6437,43.6661
2024-03-23T00:28:00Z,21.2181,32.3721
2024-02-11T15:40:00Z,11.8204,18.2571
2024-02-07T03:10:00Z,27.3699,41.5077
2024-03-05T20:36:00Z,12.2114,19.2502
2024-03-14T13:35:00Z,15.9890,24.2085
2024-01-03T10:21:00Z,24.1991,36.3221
2024-01-26T01:11:00Z,23.0471,34.6061
2024-01-26T01:03:00Z,22.7131,34.5402
2024-01-23T17:40:00Z,10.0401,15.8612
2024-02-01T07:33:00Z,29.1919,44.4794
2024-03-23T21:40:00Z,14.2407,21.8602
2024-01-09T11:11:00Z,22.1363,34.0902
2024-02-21T03:30:00Z,27.9307,42.0270
2024-01-14T05:11:00Z,29.7708,45.1002
2024-01-14T07:30:00Z,29.2426,44.5770
2024-02-15T04:20:00Z,29.0606,
2024-03-14T20:08:00Z,11.5054,17.9456
2024-01-12T15:28:00Z,12.1325,19.1493
2024-03-12T23:12:00Z,17.8908,27.7802
2024-02-22T12:27:00Z,18.8410,29.1380
2024-01-08T17:00:00Z,10.3466,15.8849
2024-03-04T17:17:00Z,10.1798,16.1038
2024-03-12T14:39:00Z,13.6206,21.3793
2024-01-22T12:33:00Z,18.5816,28.0014
2024-01-07T04:31:00Z,29.2531,43.9787
2024-01-06T13:48:00Z,15.4764,24.0920
2024-01-20T20:12:00Z,11.5987,17.4081
2024-01-04T22:20:00Z,15.7470,24.4369
2024-02-16T08:35:00Z,27.8060,42.0695
2024-03-28T20:07:00Z,11.4825,17.3973
2024-01-17T09:17:00Z,26.5369,40.7211
2024-03-05T03:25:00Z,27.7960,42.0609
2024-03-03T23:46:00Z,19.3580,29.5224
2024-03-07T08:34:00Z,27.8332,42.5052
2024-01-28T22:40:00Z,16.5515,25.2166
2024-01-04T06:28:00Z,29.9265,
2024-03-01T01:57:00Z,24.8840,38.2216
2024-01-14T02:55:00Z,26.9123,40.7442
2024-02-15T23:55:00Z,19.7501,30.3467
2024-02-19T08:30:00Z,27.9404,42.7460
2024-01-10T18:06:00Z,10.0028,15.0849
2024-02-24T11:18:00Z,21.8371,33.6919
2024-02-01T15:14:00Z,12.5239,19.6624
2024-02-17T22:32:00Z,16.2262,24.9673
2024-02-13T17:55:00Z,10.0029,15.3178
2024-01-13T21:49:00Z,14.5659,22.0897
2024-03-26T19:51:00Z,11.1379,17.4704
2024-01-23T01:29:00Z,23.7847,36.4291
2024-01-05T15:35:00Z,11.9478,18.0331
2024-01-02T06:22:00Z,29.9548,45.6481
2024-01-21T19:49:00Z,11.0978,16.9672
2024-03-17T07:31:00Z,29.2259,44.2456
2024-03-24T19:12:00Z,10.4816,16.4343
2024-01-06T03:23:00Z,27.7411,42.0907
2024-01-03T21:16:00Z,13.4181,20.1801
2024-03-01T00:59:00Z,22.5448,
2024-02-23T00:40:00Z,21.7356,32.9817
2024-01-23T18:25:00Z,10.0568,16.0008
2024-03-23T15:18:00Z,12.4091,19.1942
2024-01-18T18:00:00Z,10.0000,15.0533
2024-03-19T13:38:00Z,15.8695,24.3289
2024-03-08T06:54:00Z,29.7258,44.6041
2024-02-02T12:08:00Z,19.6671,29.6458
2024-03-26T20:14:00Z,11.6464,17.4928
2024-02-25T18:56:00Z,10.2910,15.4987
2024-02-08T19:59:00Z,11.3049,17.8967
2024-02-14T19:57:00Z,11.2621,16.9783
2024-02-25T17:38:00Z,10.0483,15.7652
2024-01-07T21:10:00Z,13.2234,20.6897
2024-01-12T18:50:00Z,10.2317,15.5931
2024-03-24T07:22:00Z,29.3701,44.5197
2024-03-24T10:58:00Z,22.6864,34.3581
2024-01-17T20:41:00Z,12.3500,18.8836
2024-03-17T05:43:00Z,29.9719,45.1052
2024-02-07T15:27:00Z,12.1595,18.7652
2024-03-14T21:22:00Z,13.6174,
2024-01-08T23:40:00Z,19.0972,29.3347
2024-01-26T22:22:00Z,15.8261,23.7538
2024-01-18T12:14:00Z,19.4057,29.9818
2024-01-02T03:22:00Z,27.7134,42.2377
2024-02-27T13:46:00Z,15.5544,23.5900
2024-01-27T23:08:00Z,17.7206,26.7086
2024-01-21T19:52:00Z,11.1582,16.7545
2024-03-07T07:15:00Z,29.4724,44.7504
2024-02-15T04:58:00Z,29.6345,44.5327
2024-03-24T18:02:00Z,10.0002,15.5463
2024-02-12T10:52:00Z,22.9375,35.0479
2024-03-27T07:52:00Z,28.8344,43.6246
2024-02-24T15:27:00Z,12.1595,18.4391
2024-02-18T07:05:00Z,29.6031,44.5436
2024-02-22T09:53:00Z,25.2733,38.3568
2024-01-19T00:50:00Z,22.1633,33.9212
2024-02-19T21:42:00Z,14.3122,21.6541
2024-01-27T07:24:00Z,29.3393,44.7292
2024-03-04T23:39:00Z,19.0537,29.3417
2024-01-17T06:15:00Z,29.9791,
2024-01-22T11:45:00Z,20.6696,31.9669
2024-01-19T06:41:00Z,29.8420,44.8086
2024-02-25T01:07:00Z,22.8805,34.3323
2024-02-28T03:48:00Z,28.3840,42.6077
2024-01-18T11:10:00Z,22.1789,33.8083
2024-01-24T02:39:00Z,26.3917,39.8676
2024-03-14T06:29:00Z,29.9211,45.0985
2024-03-14T10:23:00Z,24.1197,36.6214
2024-02-21T02:53:00Z,26.8490,40.4020
2024-03-12T06:29:00Z,29.9211,45.7921
2024-02-23T01:52:00Z,24.6925,37.6236
2024-01-04T14:50:00Z,13.2586,19.9109
2024-03-17T04:10:00Z,28.8676,43.4696
2024-03-11T17:41:00Z,10.0363,15.2342
2024-01-11T22:02:00Z,15.0503,23.1768
2024-01-07T20:15:00Z,11.6704,18.3821
2024-02-01T08:54:00Z,27.2619,41.4558
2024-01-15T20:38:00Z,12.2664,18.7708
2024-02-18T11:24:00Z,21.5793,33.2320
2024-02-12T03:08:00Z,27.3107,
2024-01-14T06:45:00Z,29.8096,45.4784
2024-02-01T02:09:00Z,25.3337,38.5307
2024-01-23T08:43:00Z,27.5832,42.0770
2024-02-17T20:49:00Z,12.5793,19.2223
2024-01-26T18:13:00Z,10.0147,15.8263
2024-01-27T13:49:00Z,15.4376,23.9182
2024-02-08T20:49:00Z,12.5793,19.7454
2024-02-08T14:20:00Z,14.2798,22.4134
2024-01-05T23:37:00Z,18.9669,28.7158
2024-01-04T12:26:00Z,18.8844,28.5522
2024-01-06T13:36:00Z,15.9491,23.9698
2024-01-06T18:10:00Z,10.0085,15.4645
2024-03-14T20:32:00Z,12.1031,18.3049
2024-02-22T17:09:00Z,10.2516,15.5966
2024-01-28T10:48:00Z,23.1038,34.6945
2024-01-05T06:21:00Z,29.9588,45.7381
2024-03-09T08:02:00Z,28.6217,43.6635
2024-03-14T04:24:00Z,29.1331,44.6602
2024-01-28T12:37:00Z,18.4091,28.5360
2024-02-14T04:16:00Z,28.9855,
2024-01-10T09:43:00Z,25.6387,38.5646
2024-02-21T06:53:00Z,29.7359,45.3526
2024-03-14T16:17:00Z,11.0024,17.0274
2024-01-22T10:37:00Z,23.5561,36.0770
2024-01-18T12:10:00Z,19.5799,30.1729
2024-01-27T15:02:00Z,12.8815,20.1411
2024-02-17T03:25:00Z,27.7960,42.2492
2024-03-16T21:37:00Z,14.1342,21.5935
2024-02-05T00:46:00Z,21.9927,33.5870
2024-02-21T20:52:00Z,12.6676,19.2591
2024-03-23T13:20:00Z,16.5964,25.1638
2024-01-15T18:18:00Z,10.0290,15.8366
2024-01-02T23:16:00Z,18.0616,27.2572
2024-03-15T04:58:00Z,29.6345,44.8827
2024-03-08T09:23:00Z,26.3367,40.4634
2024-03-17T10:10:00Z,24.6295,37.5521
2024-01-02T02:34:00Z,26.2225,40.1051
2024-02-17T15:53:00Z,11.5076,17.9893
