input,class,brightness
5;11;8;8;211;7;1;3;5;3;5;7;210;11;3;3;3;11;5;7;227;2;3;6;10;2;3;6;230;6;8;3;1;1;8;11;202;4;11;4;1;0;0;5;231;10;8;3;4;4;5;2;221;1;7;7;9;3;6;4;227;1;4;3,1,31.891
218;9;0;1;0;6;8;0;7;216;9;8;6;11;3;7;7;5;219;0;8;7;11;3;2;10;0;239;7;9;8;9;4;3;2;8;209;3;6;8;6;1;11;2;5;212;8;1;0;10;3;2;10;6;221;10;8;4;1;2;4;2;4;219,2,32.000
9;7;5;11;6;11;11;225;9;5;9;7;11;7;234;1;3;2;9;2;11;226;4;0;5;2;5;6;232;4;0;9;9;9;0;203;0;10;1;11;9;5;223;10;4;8;0;5;10;201;5;4;8;4;11;2;206;9;0;9;9;11;8;8,3,32.812
2;7;2;11;4;5;0;8;6;8;5;6;10;1;9;5;6;5;7;1;10;1;1;7;237;203;229;223;237;218;229;217;6;11;4;3;2;11;6;5;7;1;7;1;4;9;3;4;8;7;10;7;9;2;10;4;5;3;3;11;2;8;4;5,0,32.844
5;7;0;1;233;11;8;11;5;8;3;7;211;9;10;10;0;10;2;2;235;7;6;11;11;1;9;11;212;7;8;2;0;1;10;1;232;5;2;10;2;10;3;11;216;7;9;11;9;0;6;7;211;7;6;8;9;6;5;4;227;0;0;8,1,
230;11;8;11;7;0;4;7;11;205;11;6;4;3;5;3;6;7;201;5;4;8;8;10;4;8;4;226;0;0;9;0;3;3;6;4;210;2;7;4;3;3;10;3;1;206;8;3;10;7;3;9;11;0;228;10;3;8;6;4;11;4;2;221,2,31.859
7;0;1;7;6;0;10;211;7;8;1;4;2;7;229;5;6;3;10;7;5;229;11;8;5;2;2;5;224;2;8;11;9;1;9;203;7;2;9;8;7;10;216;4;3;8;10;9;3;216;3;4;1;7;11;3;232;5;3;10;4;10;0;4,3,32.406
0;0;4;1;3;3;8;5;4;1;0;1;8;3;2;0;4;10;3;8;2;1;4;4;238;200;201;225;207;211;232;213;5;8;10;9;5;4;7;1;11;8;6;2;1;6;2;10;3;9;9;9;1;7;4;0;4;7;6;0;5;0;9;10,0,31.000
4;5;6;8;205;1;2;2;11;10;4;1;204;3;5;4;2;10;1;9;224;4;4;9;8;6;3;8;225;3;4;1;4;3;5;7;216;7;5;8;1;2;11;9;231;8;8;9;10;10;1;6;231;8;11;1;8;9;5;3;238;6;6;3,1,32.594
229;8;5;6;5;0;9;10;6;205;0;1;8;11;0;10;2;10;202;2;11;4;0;7;8;4;9;206;6;1;0;3;11;2;5;6;234;11;9;4;7;8;1;11;11;223;5;6;4;5;11;11;7;2;217;5;8;9;3;2;10;3;6;237,2,32.531
1;6;7;7;1;1;5;218;9;3;10;11;4;10;203;11;8;2;2;3;5;210;8;2;10;1;0;3;206;0;3;1;9;3;6;228;1;1;8;3;7;7;224;10;8;1;7;4;9;232;4;1;6;4;1;5;221;1;11;0;5;1;9;8,3,31.500
9;10;0;6;10;2;3;11;8;5;10;9;6;1;1;11;9;6;7;10;10;6;11;11;216;212;229;217;229;206;221;238;9;0;5;7;2;5;9;7;8;2;1;9;1;8;1;5;6;11;8;1;9;5;9;7;3;7;10;10;10;1;8;0,0,33.188
1;10;1;1;210;7;4;10;3;5;11;6;221;9;10;5;9;9;1;8;222;3;5;3;9;6;5;11;234;1;1;7;11;1;5;2;211;8;1;1;6;7;1;9;235;3;7;11;4;8;7;3;221;11;10;9;0;6;4;8;206;4;5;2,1,32.422
233;2;1;6;4;6;2;9;0;230;11;10;3;4;9;7;0;11;224;11;8;0;9;8;9;4;6;213;5;7;6;4;10;1;5;11;211;6;10;0;11;11;0;9;0;235;9;9;6;4;6;3;10;8;204;3;7;7;11;5;4;7;8;232,2,33.203
0;0;5;4;3;9;2;210;7;6;7;4;11;9;223;11;7;11;0;11;8;209;7;6;5;8;1;0;208;8;4;9;11;4;2;214;8;6;2;4;5;10;231;11;6;3;3;4;1;207;8;3;8;10;1;10;234;5;2;2;0;6;9;7,3,32.031
8;9;5;1;0;10;1;5;7;3;1;10;8;0;7;10;10;3;4;6;2;9;8;5;207;208;216;225;227;234;218;234;6;7;2;10;7;7;7;10;2;6;4;7;3;11;3;5;2;3;0;6;6;1;5;8;10;6;2;2;8;6;6;2,0,32.359
6;6;3;5;225;1;11;11;1;0;2;9;233;10;10;7;6;0;5;6;235;1;3;7;0;1;3;4;212;5;1;4;0;8;2;1;201;2;2;4;0;2;1;6;238;3;2;9;4;2;9;11;224;2;4;6;1;2;6;4;207;11;10;5,1,
228;2;8;9;10;1;8;3;7;224;10;7;1;11;7;2;7;2;231;11;8;11;8;11;7;5;11;208;1;11;2;5;9;3;7;11;219;4;1;1;8;2;4;3;3;227;1;9;5;3;7;2;7;0;210;0;7;6;4;6;4;4;8;216,2,32.469
5;2;0;2;3;6;1;232;2;7;0;0;1;1;220;10;11;2;0;7;2;221;11;3;3;5;10;6;229;0;3;5;2;2;8;237;3;0;7;0;8;9;202;3;2;9;5;5;2;217;3;5;10;4;7;7;234;9;0;5;0;0;10;7,3,31.750
0;7;6;11;8;7;0;10;4;9;0;5;5;6;0;0;3;11;6;11;9;1;7;4;203;223;221;238;212;238;209;216;3;11;10;11;11;11;10;10;4;4;4;0;9;4;6;10;7;7;1;11;1;2;2;8;10;0;1;7;6;10;9;2,0,32.688
6;7;9;5;209;1;4;6;0;0;1;7;233;3;9;3;4;0;8;1;205;5;10;9;2;1;0;10;239;9;3;9;6;6;3;8;204;4;8;11;10;3;3;9;236;10;11;10;8;3;9;3;209;8;2;6;10;10;2;0;212;2;3;5,1,32.062
210;11;0;6;1;3;10;10;6;211;5;2;4;1;8;0;4;1;219;2;7;8;3;9;10;11;1;200;7;7;6;0;10;5;7;8;209;7;9;4;2;1;0;8;0;227;8;5;11;2;10;3;10;4;212;4;2;7;8;0;6;6;9;215,2,31.281
0;6;0;10;7;6;11;230;8;4;8;0;7;2;236;0;6;4;9;7;7;228;0;0;6;11;8;4;205;2;0;2;2;2;11;218;0;9;8;5;3;1;224;0;1;8;6;1;6;231;7;5;5;0;8;6;220;1;0;5;3;9;11;3,3,32.078
4;5;1;1;0;4;5;7;1;8;10;7;10;9;0;6;4;2;11;1;9;3;11;11;236;228;235;221;216;236;206;235;5;2;2;5;3;0;5;3;7;8;5;7;8;10;6;6;11;1;5;7;4;8;7;1;4;4;3;7;7;2;0;5,0,32.828
3;1;3;1;228;0;10;11;2;9;3;8;222;8;3;7;9;1;6;6;206;10;4;11;6;3;0;0;206;10;9;1;11;2;9;4;226;8;11;8;3;3;2;10;230;10;8;7;8;6;10;3;206;9;2;2;7;3;3;5;215;2;5;7,1,32.062
209;1;6;11;1;3;5;10;2;202;11;9;10;11;3;4;11;4;204;8;2;4;4;11;7;7;3;236;7;0;1;7;5;9;4;9;236;8;10;8;4;7;6;2;6;216;3;10;9;0;10;2;3;7;220;3;7;5;2;6;0;4;0;219,2,32.094
0;5;11;8;4;8;8;236;7;0;0;5;0;2;238;10;1;8;11;9;1;202;2;7;2;11;2;3;212;11;2;7;4;11;9;204;6;1;11;4;1;0;208;7;3;2;0;3;8;204;2;11;11;7;9;0;234;9;4;4;2;1;5;3,3,31.578
0;7;0;5;1;11;11;3;6;7;9;0;2;7;5;0;4;4;10;1;2;6;11;6;215;210;229;214;232;201;224;228;6;3;4;6;4;3;10;9;4;3;10;2;9;5;7;1;1;2;8;7;8;1;2;2;1;3;10;11;3;4;9;1,0,31.719
1;5;3;0;230;8;11;9;8;10;4;8;204;1;11;8;2;3;0;11;208;8;0;7;10;5;0;1;206;3;2;2;9;8;1;2;207;5;4;2;1;3;8;8;239;1;0;2;11;5;11;11;216;7;0;11;9;6;9;3;202;8;10;6,1,
206;3;0;0;5;6;2;5;0;217;10;7;7;7;8;6;4;2;217;3;5;10;2;0;8;7;11;200;4;8;7;11;11;8;9;10;231;4;10;9;5;2;8;2;1;234;3;4;8;1;11;5;9;9;218;6;5;8;2;11;3;8;6;236,2,32.578
2;7;7;9;11;0;2;225;7;8;5;7;9;0;238;9;0;2;6;9;4;228;7;10;11;5;11;11;231;2;0;0;6;0;3;230;11;2;3;11;8;4;232;10;2;7;7;1;9;210;0;1;4;1;6;6;215;4;2;3;5;9;1;8,3,32.875
6;10;6;4;2;11;11;8;9;2;1;4;6;6;3;11;6;8;10;4;9;10;7;4;205;202;207;224;223;227;220;222;9;7;1;9;0;11;4;2;9;5;5;8;6;5;1;11;4;9;1;6;11;5;8;5;5;8;7;7;5;5;0;9,0,32.438
6;4;2;3;204;7;1;1;10;0;9;2;221;6;2;8;3;8;5;4;234;3;1;4;9;7;0;3;229;7;4;6;4;9;1;1;214;3;11;8;1;9;0;7;236;1;8;4;3;10;5;0;225;0;5;0;7;4;3;3;232;8;9;2,1,31.969
205;10;2;2;2;2;2;4;2;202;6;2;2;8;2;4;9;7;210;5;9;1;7;2;4;5;0;208;5;4;0;5;5;6;11;5;229;5;7;7;9;11;8;5;0;213;10;6;0;9;11;8;9;6;203;4;0;0;9;10;4;6;7;230,2,31.109
0;2;7;9;11;1;4;225;10;9;4;3;6;9;225;0;0;6;9;7;2;215;6;0;7;8;10;5;233;0;1;0;1;5;5;210;3;6;5;8;0;4;201;1;11;9;9;10;7;214;6;3;11;10;0;10;210;10;7;0;5;2;4;0,3,31.578
