front,side,target
201;4;1;7;2;5;7;0;5;207;7;4;5;9;2;7;0;5;223;7;10;11;6;10;7;10;3;230;10;5;4;11;4;1;1;2;212;0;0;10;2;10;9;8;2;215;3;2;11;2;1;9;8;6;200;8;2;2;4;5;4;6;9;207,234;8;7;6;9;9;10;5;4;217;3;0;2;8;3;2;0;3;224;9;0;8;4;3;9;6;5;239;2;1;7;4;2;8;4;1;229;10;11;10;7;10;2;1;1;219;7;11;10;5;7;3;6;0;238;5;8;3;1;5;7;2;1;215,2
2;8;5;5;7;4;0;232;3;9;4;3;0;10;211;5;10;8;8;9;11;229;0;4;10;7;5;4;210;9;1;9;3;7;3;226;10;7;5;11;0;8;215;4;3;11;2;7;10;217;9;5;4;5;0;1;209;0;2;7;7;1;3;4,11;7;1;9;1;3;1;237;10;1;6;5;4;5;232;4;2;1;3;4;5;202;1;5;6;1;3;11;228;0;4;10;5;2;2;233;0;3;8;8;10;10;237;0;5;1;5;4;9;223;2;9;5;9;0;1;238;2;0;4;7;2;8;9,3
1;8;6;8;6;8;5;4;4;11;8;8;6;10;3;9;0;6;9;1;7;11;7;2;219;205;239;214;234;223;215;211;2;1;4;1;11;4;6;1;11;0;11;8;4;4;3;0;6;10;5;0;5;6;0;1;7;5;7;2;8;4;2;5,4;0;10;230;1;3;4;10;4;5;1;210;9;9;2;2;8;9;2;238;5;5;4;3;8;5;6;232;5;10;5;9;3;4;8;217;4;8;11;4;1;7;7;205;11;10;5;8;4;1;7;222;11;0;1;2;5;0;10;224;1;4;6;3,0
5;11;8;8;211;7;1;3;5;3;5;7;210;11;3;3;3;11;5;7;227;2;3;6;10;2;3;6;230;6;8;3;1;1;8;11;202;4;11;4;1;0;0;5;231;10;8;3;4;4;5;2;221;1;7;7;9;3;6;4;227;1;4;3,0;4;1;5;4;11;9;2;9;0;6;1;11;5;5;3;5;10;8;1;1;10;1;3;9;2;8;11;0;9;6;0;230;217;208;222;200;202;205;226;10;5;6;6;4;6;5;8;5;5;9;8;2;6;1;6;5;9;0;0;6;11;4;7,1
218;9;0;1;0;6;8;0;7;216;9;8;6;11;3;7;7;5;219;0;8;7;11;3;2;10;0;239;7;9;8;9;4;3;2;8;209;3;6;8;6;1;11;2;5;212;8;1;0;10;3;2;10;6;221;10;8;4;1;2;4;2;4;219,222;3;7;10;0;0;2;0;8;218;10;8;10;11;10;9;5;10;234;5;8;3;7;1;9;11;8;219;10;0;2;0;1;0;11;5;237;10;10;7;10;11;10;2;3;226;3;0;4;4;6;7;8;5;201;3;2;9;1;8;1;9;7;228,2
9;7;5;11;6;11;11;225;9;5;9;7;11;7;234;1;3;2;9;2;11;226;4;0;5;2;5;6;232;4;0;9;9;9;0;203;0;10;1;11;9;5;223;10;4;8;0;5;10;201;5;4;8;4;11;2;206;9;0;9;9;11;8;8,3;9;3;8;0;3;9;216;6;0;4;8;10;0;204;10;4;5;6;10;5;226;4;6;2;9;1;6;203;0;9;9;4;9;6;218;3;4;6;10;11;5;200;9;0;6;7;5;4;208;0;3;2;8;8;3;203;3;4;9;9;7;2;9,3
2;7;2;11;4;5;0;8;6;8;5;6;10;1;9;5;6;5;7;1;10;1;1;7;237;203;229;223;237;218;229;217;6;11;4;3;2;11;6;5;7;1;7;1;4;9;3;4;8;7;10;7;9;2;10;4;5;3;3;11;2;8;4;5,10;0;2;221;7;2;7;1;3;1;10;223;2;3;9;5;2;5;3;204;8;2;11;8;1;8;11;237;10;9;5;6;4;0;6;202;9;9;6;2;6;1;5;212;9;10;0;7;4;6;7;202;6;6;7;6;2;5;9;211;10;7;8;1,0
5;7;0;1;233;11;8;11;5;8;3;7;211;9;10;10;0;10;2;2;235;7;6;11;11;1;9;11;212;7;8;2;0;1;10;1;232;5;2;10;2;10;3;11;216;7;9;11;9;0;6;7;211;7;6;8;9;6;5;4;227;0;0;8,4;2;8;10;11;10;7;9;0;11;1;1;11;3;1;9;0;2;6;9;2;2;10;8;6;0;4;2;0;8;1;0;212;237;232;205;231;201;213;215;6;11;3;11;3;4;2;10;0;2;2;1;2;7;7;7;10;1;10;6;2;6;11;2,1
230;11;8;11;7;0;4;7;11;205;11;6;4;3;5;3;6;7;201;5;4;8;8;10;4;8;4;226;0;0;9;0;3;3;6;4;210;2;7;4;3;3;10;3;1;206;8;3;10;7;3;9;11;0;228;10;3;8;6;4;11;4;2;221,211;3;9;5;1;6;0;10;2;219;5;5;11;0;11;0;1;4;207;0;2;0;3;0;4;0;6;237;11;6;10;0;1;3;1;10;205;2;11;10;8;6;1;9;3;233;3;3;9;10;8;5;7;1;212;11;5;5;10;9;3;0;1;206,2
7;0;1;7;6;0;10;211;7;8;1;4;2;7;229;5;6;3;10;7;5;229;11;8;5;2;2;5;224;2;8;11;9;1;9;203;7;2;9;8;7;10;216;4;3;8;10;9;3;216;3;4;1;7;11;3;232;5;3;10;4;10;0;4,11;11;7;6;2;6;11;232;5;0;2;10;0;0;205;9;5;7;10;0;6;217;9;7;9;3;3;4;219;10;9;2;9;4;2;223;4;1;11;8;0;10;216;8;1;9;1;8;0;234;4;2;3;2;5;6;204;1;0;4;2;1;6;9,3
0;0;4;1;3;3;8;5;4;1;0;1;8;3;2;0;4;10;3;8;2;1;4;4;238;200;201;225;207;211;232;213;5;8;10;9;5;4;7;1;11;8;6;2;1;6;2;10;3;9;9;9;1;7;4;0;4;7;6;0;5;0;9;10,4;7;8;216;0;11;1;4;10;9;2;235;0;7;11;9;0;3;6;206;2;10;1;5;5;10;9;205;10;9;11;6;5;4;5;206;9;1;3;4;1;2;0;214;11;8;4;5;7;7;4;216;1;1;7;3;2;6;5;215;2;3;6;6,0
4;5;6;8;205;1;2;2;11;10;4;1;204;3;5;4;2;10;1;9;224;4;4;9;8;6;3;8;225;3;4;1;4;3;5;7;216;7;5;8;1;2;11;9;231;8;8;9;10;10;1;6;231;8;11;1;8;9;5;3;238;6;6;3,1;5;8;1;0;11;0;7;4;9;8;2;2;2;1;6;2;5;11;11;0;7;8;8;3;2;9;5;8;6;6;11;222;229;208;212;230;226;207;221;11;2;7;6;4;7;2;10;2;0;0;3;5;4;3;6;2;5;11;5;4;11;8;5,1
229;8;5;6;5;0;9;10;6;205;0;1;8;11;0;10;2;10;202;2;11;4;0;7;8;4;9;206;6;1;0;3;11;2;5;6;234;11;9;4;7;8;1;11;11;223;5;6;4;5;11;11;7;2;217;5;8;9;3;2;10;3;6;237,207;1;2;11;9;6;11;11;7;212;3;0;0;3;3;8;2;1;202;11;11;0;6;3;10;3;3;206;5;8;8;0;11;2;4;8;233;9;8;0;2;4;11;4;0;214;1;2;6;3;2;8;6;8;237;2;3;4;6;8;2;6;11;218,2
1;6;7;7;1;1;5;218;9;3;10;11;4;10;203;11;8;2;2;3;5;210;8;2;10;1;0;3;206;0;3;1;9;3;6;228;1;1;8;3;7;7;224;10;8;1;7;4;9;232;4;1;6;4;1;5;221;1;11;0;5;1;9;8,11;10;7;11;1;10;4;204;7;8;3;6;7;3;203;5;4;1;8;7;0;205;0;6;7;9;5;11;211;0;9;0;5;2;0;205;0;6;6;10;3;11;206;1;10;8;1;6;1;238;5;11;10;0;10;6;202;8;9;8;1;6;7;7,3
9;10;0;6;10;2;3;11;8;5;10;9;6;1;1;11;9;6;7;10;10;6;11;11;216;212;229;217;229;206;221;238;9;0;5;7;2;5;9;7;8;2;1;9;1;8;1;5;6;11;8;1;9;5;9;7;3;7;10;10;10;1;8;0,8;3;2;229;4;7;1;2;10;4;8;208;4;2;2;0;5;2;9;237;10;11;8;10;10;2;8;224;5;10;2;6;3;9;6;204;7;5;6;6;8;10;3;211;10;10;7;1;4;11;11;207;7;0;11;3;7;4;9;229;6;3;4;1,0
1;10;1;1;210;7;4;10;3;5;11;6;221;9;10;5;9;9;1;8;222;3;5;3;9;6;5;11;234;1;1;7;11;1;5;2;211;8;1;1;6;7;1;9;235;3;7;11;4;8;7;3;221;11;10;9;0;6;4;8;206;4;5;2,4;2;0;2;9;4;2;8;0;9;9;1;11;10;4;2;4;0;3;0;2;0;4;6;7;7;9;6;2;2;11;0;215;238;231;214;220;206;233;215;7;5;8;5;11;1;11;11;9;2;9;2;9;5;8;9;0;5;10;5;4;8;2;7,1
233;2;1;6;4;6;2;9;0;230;11;10;3;4;9;7;0;11;224;11;8;0;9;8;9;4;6;213;5;7;6;4;10;1;5;11;211;6;10;0;11;11;0;9;0;235;9;9;6;4;6;3;10;8;204;3;7;7;11;5;4;7;8;232,232;5;0;10;10;0;2;8;2;218;3;9;9;7;1;9;9;7;212;8;9;11;7;5;0;1;7;239;3;11;11;1;2;3;11;11;222;9;11;2;2;1;9;7;2;222;2;6;2;8;7;3;2;4;215;11;10;5;10;4;8;3;8;215,2
0;0;5;4;3;9;2;210;7;6;7;4;11;9;223;11;7;11;0;11;8;209;7;6;5;8;1;0;208;8;4;9;11;4;2;214;8;6;2;4;5;10;231;11;6;3;3;4;1;207;8;3;8;10;1;10;234;5;2;2;0;6;9;7,9;0;3;0;6;3;7;239;7;2;0;2;4;2;237;1;1;1;1;8;11;237;11;11;7;5;11;10;201;10;3;6;0;1;5;214;2;1;7;6;2;4;235;9;0;9;6;2;3;207;9;7;9;1;5;5;234;10;9;5;4;8;8;9,3
8;9;5;1;0;10;1;5;7;3;1;10;8;0;7;10;10;3;4;6;2;9;8;5;207;208;216;225;227;234;218;234;6;7;2;10;7;7;7;10;2;6;4;7;3;11;3;5;2;3;0;6;6;1;5;8;10;6;2;2;8;6;6;2,1;5;3;204;0;11;4;6;10;9;9;204;5;9;10;10;2;10;10;234;2;7;7;7;8;7;5;227;10;10;3;9;4;10;7;205;1;10;3;3;5;0;10;202;4;9;0;10;8;6;0;213;11;2;7;5;0;6;5;207;1;11;4;6,0
6;6;3;5;225;1;11;11;1;0;2;9;233;10;10;7;6;0;5;6;235;1;3;7;0;1;3;4;212;5;1;4;0;8;2;1;201;2;2;4;0;2;1;6;238;3;2;9;4;2;9;11;224;2;4;6;1;2;6;4;207;11;10;5,7;5;6;11;0;11;0;6;4;4;0;4;9;10;1;7;5;10;5;8;1;7;8;1;1;1;2;7;1;10;10;8;201;228;224;229;215;226;231;222;0;9;3;1;3;10;2;1;10;0;9;7;8;11;7;8;9;11;3;11;1;8;8;1,1
