input,power,efficiency
24.597530,322.519242,75.402470
24.281472,314.794939,75.718528
-17.977228,181.590359,82.022772
-5.444042,34.818797,94.555958
-17.294107,169.543062,82.705893
-4.375712,29.573426,95.624288
3.274199,25.360189,96.725801
16.397168,154.433565,83.602832
-17.451736,172.281548,82.548264
-25.872074,354.682099,
17.928605,180.717443,82.071395
9.183064,62.164336,90.816936
-23.161880,288.236353,76.838120
23.096584,286.726106,76.903416
-5.517589,35.221894,94.482411
-26.216715,363.658071,73.783285
9.121541,61.601251,90.878459
9.462632,64.770699,90.537368
11.030245,80.833150,88.969755
20.589942,231.972852,79.410058
-4.223993,28.921058,95.776007
-22.582795,274.991317,77.417205
-28.028601,412.801239,71.971399
-1.308292,20.855814,98.691708
-25.234436,338.388391,74.765564
14.571974,126.171217,85.428026
-27.734630,404.604854,72.265370
18.413062,189.520418,81.586938
-14.268198,121.790741,85.731802
10.046883,70.469927,
11.528956,86.458417,88.471044
4.906382,32.036292,95.093618
19.799841,216.016848,80.200159
-29.768451,463.080336,70.231549
-19.435101,208.861574,80.564899
-16.313321,153.062223,83.686679
-0.900810,20.405729,99.099190
-21.107046,242.753695,78.892954
14.372747,123.287933,85.627253
17.120084,166.548640,82.879916
-1.505003,21.132516,98.494997
-12.874337,102.874277,87.125663
-20.378626,227.644194,79.621374
-10.101021,71.015314,89.898979
16.515659,156.383495,83.484341
8.563953,56.670649,91.436047
-19.575034,211.590973,80.424966
-10.392135,73.998239,89.607865
23.612563,298.776575,76.387437
8.718696,58.007827,
6.305200,39.877775,93.694800
-15.901969,146.436305,84.098031
1.284313,20.824730,98.715687
16.052118,148.835250,83.947882
-19.814483,216.306874,80.185517
-10.245179,72.481850,89.754821
-18.957816,199.699395,81.042184
-17.477406,172.729869,82.522594
22.318252,269.052186,77.681748
-7.964555,51.717065,92.035445
-14.148112,120.084542,85.851888
3.983332,27.933468,96.016668
6.463130,40.886026,93.536870
25.524346,345.746113,74.475654
-29.010681,440.809813,70.989319
-17.647238,175.712507,82.352762
-13.804159,115.277397,86.195841
19.124812,202.879212,80.875188
-27.638813,401.951983,72.361187
23.292279,291.265120,
-23.229089,289.795289,76.770911
-25.043556,333.589848,74.956444
-29.027804,441.306699,70.972196
24.049405,309.186929,75.950595
22.958051,283.536055,77.041949
-27.361101,394.314911,72.638899
24.454771,319.017905,75.545229
-2.842947,24.041175,97.157053
9.656536,66.624340,90.343464
4.964915,32.325190,95.035085
-12.612172,99.533444,87.387828
9.272150,62.986382,90.727850
1.167332,20.681332,98.832668
20.407094,228.224748,79.592906
-4.871430,31.865416,95.128570
7.508740,48.190591,92.491260
1.503177,21.129771,98.496823
-4.474104,30.008805,95.525896
-21.177796,244.249522,78.822204
-2.179198,22.374452,
-26.908556,382.035181,73.091444
6.766519,42.892886,93.233481
7.752803,50.052975,92.247197
25.841732,353.897550,74.158268
-14.242587,121.425636,85.757413
22.886687,281.900226,77.113313
-10.970516,80.176114,89.029484
-13.641052,113.039144,86.358948
-14.869791,130.555341,85.130209
14.698837,128.027901,85.301163
-26.078427,360.042171,73.921573
0.929328,20.431826,99.070672
-18.878563,198.200074,81.121437
23.778391,302.705935,76.221609
14.897842,130.972843,85.102158
-4.381389,29.598284,95.618611
2.670173,23.564912,97.329827
-23.012059,284.777424,76.987941
-5.927157,37.565592,94.072843
0.988720,20.488784,
13.837134,115.733139,86.162866
0.368678,20.067962,99.631322
19.640592,212.876426,80.359408
2.613303,23.414677,97.386697
11.297644,83.818378,88.702356
-3.657081,26.687121,96.342919
3.017866,24.553757,96.982134
-19.577877,211.646636,80.422123
-13.333305,108.888510,86.666695
21.334107,247.572064,78.665893
-0.951116,20.452311,99.048884
-28.237123,418.667566,71.762877
22.415280,271.222397,77.584720
-4.891833,31.965013,95.108167
-17.828048,178.919651,82.171952
0.996957,20.496961,99.003043
20.632726,232.854685,79.367274
9.806559,68.084299,90.193441
-5.983534,37.901337,94.016466
11.962058,91.545414,
-7.081400,45.073114,92.918600
-18.891149,198.437761,81.108851
-11.030189,80.832540,88.969811
15.592882,141.568991,84.407118
16.519134,156.440891,83.480866
12.684378,100.446722,87.315622
-9.563803,65.733168,90.436197
9.415154,64.322559,90.584846
-10.407387,74.156856,89.592613
-1.208460,20.730188,98.791540
27.994231,411.838493,72.005769
18.615376,193.266119,81.384624
9.642824,66.492023,90.357176
-3.250784,25.283798,96.749216
22.036764,262.809476,77.963236
4.443179,29.870921,95.556821
17.117005,166.495931,82.882995
-26.253325,364.618539,73.746675
-20.517847,230.491013,79.482153
-6.227192,39.388958,
-19.644709,212.957290,80.355291
-2.290154,22.622402,97.709846
5.854829,37.139514,94.145171
-26.663326,375.466470,73.336674
-27.024332,385.157263,72.975668
-29.797893,463.957214,70.202107
10.940100,79.842899,89.059900
9.732739,67.363106,90.267261
21.959172,261.102620,78.040828
-11.680402,88.215896,88.319598
5.601913,35.690716,94.398087
-13.535693,111.607491,86.464307
10.418203,74.269474,89.581797
16.484475,155.868952,83.515525
-16.760548,160.457981,83.239452
-14.575208,126.218340,85.424792
18.218550,185.957788,81.781450
21.236812,245.501093,78.763188
-14.644959,127.237411,85.355041
28.874547,436.869746,
-15.319277,137.340130,84.680723
27.592415,400.670670,72.407585
9.891379,68.919687,90.108621
-20.793952,236.194223,79.206048
-9.263885,62.909783,90.736115
-4.555299,30.375373,95.444701
23.019752,284.954483,76.980248
-7.062738,44.941136,92.937262
-16.610308,157.951169,83.389692
23.690898,300.629332,76.309102
-22.488316,272.862184,77.511684
-22.995191,284.389400,77.004809
16.027020,148.432693,83.972980
-16.642726,158.490167,83.357274
5.891499,37.354882,94.108501
24.265052,314.396383,75.734948
24.767693,326.719310,75.232307
-24.321589,315.769845,75.678411
15.924955,146.802098,84.075045
24.591852,322.379601,
-23.282607,291.039904,76.717393
-8.399901,55.279169,91.600099
-7.164009,45.661513,92.835991
-10.021974,70.219979,89.978026
-10.683627,77.069946,89.316373
-0.024263,20.000294,99.975737
0.617854,20.190872,99.382146
-11.657793,87.952064,88.342207
-3.582104,26.415734,96.417896
18.544417,191.947710,81.455583
-0.281628,20.039657,99.718372
-21.338082,247.656868,78.661918
8.699950,57.844568,91.300050
-12.429870,97.250833,87.570130
29.258083,448.017712,70.741917
12.595161,99.319036,87.404839
-16.955450,163.743643,83.044550
-19.609261,212.261561,80.390739
14.159451,120.245022,85.840549
9.971083,69.711248,
7.658690,49.327770,92.341310
-23.951678,306.841445,76.048322
-18.406529,189.400157,81.593471
26.585784,373.401957,73.414216
16.534206,156.689984,83.465794
20.506067,230.249397,79.493933
-13.577987,112.180862,86.422013
-14.943254,131.650416,85.056746
-2.365234,22.797165,97.634766
10.923681,79.663403,89.076319
-0.312983,20.048979,99.687017
-6.324098,39.997106,93.675902
-1.648184,21.358255,98.351816
3.979304,27.917430,96.020696
-14.629450,127.010409,85.370550
-5.434483,34.766803,94.565517
16.892697,162.681607,83.107303
-10.367122,73.738605,89.632878
16.875927,162.398461,83.124073
7.139229,45.484293,
-23.113965,287.127682,76.886035
9.171349,62.056819,90.828651
