pressure,flow,target
1.108630,85.175099,9.506420
2.075631,91.248337,19.014193
2.707384,43.204209,11.793893
0.818069,84.038393,6.940447
1.719430,77.857378,13.471677
2.008715,54.054206,10.868051
0.767152,52.226587,4.016995
1.805263,53.714002,9.732994
0.936195,85.243899,8.042604
1.023335,98.473133,10.153823
0.828559,52.149129,4.372497
2.372384,13.861868,3.380216
1.273214,87.844866,11.254682
2.263716,11.458526,2.677185
2.310589,73.975212,17.125558
1.011976,15.319884,1.634212
2.274285,13.669671,3.145916
0.735602,16.437887,1.209362
1.963705,23.171063,4.626128
0.831324,41.917426,3.514923
1.810946,10.480878,1.957287
2.115647,32.027003,6.867029
1.899106,31.231910,6.000471
2.635096,20.721334,5.475421
2.065356,37.064747,7.754977
1.899096,21.007432,4.055072
1.571053,28.420572,4.490187
1.942687,99.748927,19.439798
1.338497,12.810902,1.797213
2.836202,18.423682,5.304150
0.580197,16.967369,1.078424
0.715778,65.461821,4.735164
2.967533,57.042053,16.936511
2.651857,15.998079,4.305882
1.479923,88.261866,13.068357
1.940165,95.953876,18.711725
0.899514,22.392136,2.075852
1.991511,47.631763,9.488688
1.918659,20.091278,3.887408
2.375679,16.472668,3.920781
2.004491,82.436938,16.555275
1.305263,94.849092,12.438781
2.229434,99.125137,22.191853
2.804807,36.760316,10.341789
0.535332,15.857013,0.940132
2.244695,33.597251,7.620917
1.857111,22.954070,4.294539
1.804147,27.705878,5.074520
1.822685,67.459625,12.376963
0.505894,74.297157,3.846376
0.916543,83.194999,7.665729
2.104104,84.621265,17.856066
1.104266,75.413128,8.389176
1.013714,31.146736,3.191846
1.267059,50.374967,6.482502
2.171572,52.095709,11.410005
2.062934,11.027166,2.303367
2.154979,54.098595,11.671439
2.319693,34.696037,8.075281
0.746086,81.049425,6.138450
0.657725,99.519807,6.611378
2.909006,18.455968,5.381346
1.430166,38.206325,5.502362
1.520150,82.802922,12.595348
2.952996,57.949764,17.148412
1.770350,80.700173,14.319309
2.370342,93.691140,22.238403
0.625331,93.906695,5.899392
0.635422,97.763897,6.311168
1.761781,27.350555,4.902456
0.693650,61.500082,4.269002
2.461393,61.943914,15.261351
1.177592,95.779234,11.350850
1.305627,97.352006,12.790357
0.923736,70.681309,6.597911
2.176953,79.416484,17.346000
0.652001,11.404371,0.762164
2.672514,62.181980,16.657475
1.147745,58.672683,6.739066
2.599169,59.491452,15.530129
2.765359,70.370161,19.494396
2.069227,87.963958,18.240956
1.772234,81.387821,14.492430
0.532885,94.967107,5.072444
2.306056,84.548891,19.549214
0.984270,65.483181,6.502006
1.800867,29.982066,5.493430
1.835806,22.006455,4.068860
1.306874,37.238154,4.902070
1.820518,45.674262,8.396142
2.470196,30.914575,7.667135
2.589509,42.492315,11.020202
1.779438,73.391278,13.066039
1.062308,70.978113,7.554011
1.241120,60.341355,7.579336
0.631239,44.886912,2.840654
1.382546,79.365187,10.987017
1.551692,20.090882,3.139570
2.776638,44.572015,12.467510
2.772491,12.412342,3.481062
2.155331,50.128060,10.857272
1.038428,18.233627,1.936692
1.571906,39.632945,6.248036
1.778046,35.185765,6.261206
2.085693,96.780988,20.201559
0.520011,99.425316,5.258891
1.032450,15.103242,1.637674
2.997476,18.655771,5.598684
0.667431,25.942223,1.751697
1.590873,82.414688,13.178356
1.786595,86.845745,15.519045
1.062508,26.165857,2.844966
1.444501,93.245434,13.528394
1.850939,77.341599,14.388172
0.895146,72.595759,6.587172
0.667072,99.223241,6.695641
0.743211,78.038168,5.892283
0.882485,14.187543,1.314270
1.486514,27.618784,4.177182
2.560189,66.570201,17.124516
0.778344,88.276842,6.924444
2.767537,11.156861,3.168436
2.764877,84.326245,23.402775
2.247075,45.272814,10.250284
1.947695,39.047844,7.684975
2.027391,18.755113,3.815633
2.576292,59.237990,15.354050
1.488819,80.971993,12.146589
2.066871,55.406512,11.516912
1.706761,32.366751,5.538887
2.523702,50.169783,12.676532
2.169690,97.995019,21.284063
0.768135,17.068220,1.352562
2.640918,87.399309,23.115872
2.864511,29.453404,8.444124
1.899436,49.757583,9.476483
1.272059,86.648172,11.056379
0.720330,86.744902,6.308145
1.038341,17.700140,1.869813
2.389536,40.716850,9.746698
1.913148,22.230589,4.329107
2.457225,26.146372,6.499236
2.726597,77.397907,21.122457
1.025609,60.264816,6.255113
0.915662,61.256600,5.662780
0.565825,76.654493,4.371480
1.974519,44.128946,8.752758
0.540744,22.671566,1.235120
2.340585,87.650920,20.546033
0.683562,14.126045,1.015203
2.920546,67.746599,19.884402
2.630672,27.483557,7.287664
2.347238,82.945297,19.522270
2.947327,20.301182,6.069229
2.860954,92.948586,26.598359
2.601947,13.373213,3.525398
1.123994,14.270113,1.649651
2.291288,72.343667,16.598169
2.304101,13.554701,3.219165
0.744352,19.223376,1.521407
0.563083,35.181081,2.036797
2.882398,42.110845,12.225613
2.815575,65.512148,18.542948
1.752544,32.861507,5.784872
2.493426,12.941045,3.290642
2.130375,64.180985,13.681882
1.956184,73.124268,14.315609
2.257297,21.433247,4.894641
2.342451,93.406909,21.956700
2.572944,86.620595,22.360117
2.694350,93.577146,25.263085
1.191617,80.101763,9.637312
1.884726,15.989740,3.077509
0.503351,73.172051,3.772699
2.630555,39.157388,10.369462
2.329363,29.463919,6.925963
1.872904,59.368380,11.127515
2.869861,99.999558,28.718079
0.905812,39.679694,3.613835
2.164550,76.857922,16.688650
1.800966,85.842647,15.558661
2.785356,76.737400,21.436422
2.445868,89.476113,21.937300
1.934604,32.321654,6.282580
1.204623,29.092740,3.529299
0.640614,44.378571,2.855298
2.713106,86.594282,23.549754
1.778035,84.086787,15.045989
0.723819,63.561390,4.672230
1.582928,16.118247,2.629916
2.279828,10.118191,2.347535
1.112976,69.387018,7.764202
2.475549,30.884859,7.665596
1.544975,40.073734,6.280390
1.157200,52.483897,6.143250
0.829625,62.276972,5.203612
1.789387,18.851450,3.405800
2.785825,31.647777,8.824741
1.780640,57.845297,10.334807
1.351607,97.274031,13.160728
0.879155,17.571558,1.636311
1.399433,20.398148,2.914452
1.319646,38.011497,5.074812
0.573568,48.298843,2.773939
1.163380,12.384223,1.475617
1.314784,77.199190,10.236417
2.140274,95.552560,20.538549
1.874394,49.093563,9.205782
2.785252,84.749771,23.665801
1.507909,77.938960,11.812800
1.419653,56.995433,8.151760
2.693190,87.442429,23.596052
0.628122,69.927889,4.433245
1.297352,81.342659,10.631617
0.906726,42.134784,3.864180
2.741052,62.378287,17.098952
2.652522,73.359673,19.552513
1.896219,46.467373,8.884095
1.232918,19.482192,2.464827
1.037133,43.585320,4.599027
2.893534,79.700323,23.109584
2.353446,53.476386,12.669033
2.824303,94.831114,26.810814
1.121022,92.155887,10.388802
0.835460,38.454917,3.312274
1.456815,69.903586,10.230474
0.635496,98.749760,6.341596
2.441228,84.929579,20.803393
2.371467,96.741144,23.031653
1.460336,39.045572,5.792041
2.324390,23.648378,5.543291
